Problem,Link,Platform,Difficulty,Priority
Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,LeetCode,Easy,Class
Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,LeetCode,Easy,Class
Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,LeetCode,Easy,Class
Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,LeetCode,Medium,Class
Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,LeetCode,Easy,Class
Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,LeetCode,Easy,Class
Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/,LeetCode,Easy,Class
Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,LeetCode,Easy,Class
Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,LeetCode,Easy,Class
Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,LeetCode,Easy,Class
Remove Nth Node From End,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,LeetCode,Medium,Class
Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,LeetCode,Medium,Class
Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,LeetCode,Medium,Class
Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list/,LeetCode,Medium,Class
Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,LeetCode,Medium,Class
Add Two Numbers II,https://leetcode.com/problems/add-two-numbers-ii/,LeetCode,Medium,Class
Rotate List,https://leetcode.com/problems/rotate-list/,LeetCode,Medium,Class
Sort List,https://leetcode.com/problems/sort-list/,LeetCode,Medium,Class
Partition List,https://leetcode.com/problems/partition-list/,LeetCode,Medium,Class
Reorder List,https://leetcode.com/problems/reorder-list/,LeetCode,Medium,Class
Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,LeetCode,Hard,Class
Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,LeetCode,Hard,Class
Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,LeetCode,Medium,HW
Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,LeetCode,Medium,Class
Detect Loop in Linked List,https://www.geeksforgeeks.org/problems/detect-loop-in-linked-list/1,GFG,Easy,Class
Remove Loop in Linked List,https://www.geeksforgeeks.org/problems/remove-loop-in-linked-list/1,GFG,Medium,Class
Find Length of Loop,https://www.geeksforgeeks.org/problems/find-length-of-loop/1,GFG,Medium,HW
Segregate Even and Odd Nodes,https://www.geeksforgeeks.org/problems/segregate-even-and-odd-nodes-in-a-linked-list/1,GFG,Medium,HW
